n_iter,roc_auc_selector,mcc_selector,accuracy_selector,precision_selector,recall_selector,f1_score_selector,id_add,acquisition_add,id_forget,acquisition_forget,id_prior_al
55,,,,,,,[1054],[0.9688184857368469],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685]"
56,,,,,,,[1259],[0.9251344799995422],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054]"
57,,,,,,,[439],[0.9384497404098511],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259]"
58,,,,,,,[462],[0.9945221543312073],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439]"
59,,,,,,,[440],[0.9885202050209045],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462]"
60,0.6833941510165991,0.4860965863997935,0.8295566502463054,0.8286985539488321,0.6797162540501431,0.711061746678185,[459],[0.9763548970222473],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440]"
61,,,,,,,[611],[0.9821982979774475],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459]"
62,,,,,,,[12],[0.9578105211257935],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611]"
63,,,,,,,[233],[0.9057421088218689],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12]"
64,,,,,,,[237],[0.9772383570671082],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233]"
65,,,,,,,[528],[0.9991633892059326],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237]"
66,,,,,,,[1628],[0.9979755878448486],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528]"
67,,,,,,,[1035],[0.9993702173233032],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628]"
68,,,,,,,[1630],[0.9604096412658691],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035]"
69,,,,,,,[950],[0.9762333035469055],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630]"
70,0.6912165633814632,0.4897063842736484,0.8305418719211822,0.832391304347826,0.6803689955645035,0.71211561547696,[2016],[0.919527530670166],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950]"
71,,,,,,,[556],[0.9365363717079163],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016]"
72,,,,,,,[494],[0.8966544270515442],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556]"
73,,,,,,,[281],[0.8844622373580933],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556, 494]"
74,,,,,,,[385],[0.9570163488388062],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556, 494, 281]"
75,,,,,,,[175],[0.8783408403396606],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556, 494, 281, 385]"
76,,,,,,,[406],[0.836663544178009],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556, 494, 281, 385, 175]"
77,,,,,,,[918],[0.8803995251655579],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556, 494, 281, 385, 175, 406]"
78,,,,,,,[69],[0.8352701663970947],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876, 1191, 921, 578, 1404, 786, 684, 543, 253, 903, 1186, 564, 685, 1054, 1259, 439, 462, 440, 459, 611, 12, 233, 237, 528, 1628, 1035, 1630, 950, 2016, 556, 494, 281, 385, 175, 406, 918]"
